"","Earnings"
"1",6.984
"2",7.06
"3",7.447
"4",6.805
"5",7.331
"6",7.309
"7",7.25
"8",6.944
"9",6.712
"10",6.605
"11",6.601
"12",7.147
"13",7.156
"14",6.598
"15",6.964
"16",7.318
"17",7.476
"18",6.713
"19",7.251
"20",6.842
"21",7.044
"22",6.928
"23",7.007
"24",7.139
"25",7.247
"26",6.863
"27",7.077
"28",7.584
"29",7.342
"30",7.285
"31",6.493
"32",7.366
"33",6.759
"34",6.397
"35",7.359
"36",7.117
"37",7.274
"38",7.428
"39",6.494
"40",7.177
"41",6.639
"42",6.464
"43",6.742
"44",7.475
"45",7.606
"46",6.578
"47",6.393
"48",7.024
"49",7.305
"50",7.433
"51",7.141
"52",6.66
"53",7.361
"54",6.413
"55",6.532
"56",6.372
"57",6.597
"58",7.552
"59",6.582
"60",7.564
"61",7.196
"62",7.18
"63",6.666
"64",6.686
"65",6.459
"66",6.499
"67",6.668
"68",7.565
"69",6.735
"70",7.326
"71",6.938
"72",7.368
"73",7.369
"74",6.847
"75",7.242
"76",6.781
"77",7.094
"78",6.833
"79",7.053
"80",7.23
"81",7.258
"82",7.071
"83",6.884
"84",6.405
"85",7.578
"86",6.768
"87",6.732
"88",6.767
"89",7.466
"90",6.923
"91",7.587
"92",6.672
"93",6.96
"94",7.501
"95",6.428
"96",7.421
"97",7.461
"98",7.535
"99",6.376
"100",6.778
"101",6.662
"102",7.442
"103",6.421
"104",7.55
"105",6.739
"106",6.979
"107",7.583
"108",7.487
"109",7.529
"110",6.402
"111",7.472
"112",7.027
"113",6.704
"114",7.069
"115",7.47
"116",6.489
"117",6.529
"118",6.653
"119",6.687
"120",7.146
"121",7.592
"122",6.539
"123",6.522
"124",6.905
"125",6.603
"126",7.594
"127",7.133
"128",6.674
"129",6.968
"130",6.394
"131",7.075
"132",7.298
"133",7.344
"134",6.771
"135",6.521
"136",7.013
"137",6.404
"138",6.651
"139",7.227
"140",7.231
"141",7.555
"142",6.743
"143",6.669
"144",7.249
"145",7.413
"146",7.225
"147",6.962
"148",6.35
"149",7.351
"150",6.373
"151",6.85
"152",7.386
"153",7.301
"154",7.003
"155",6.62
"156",7.483
"157",7.19
"158",7.288
"159",6.779
"160",6.809
"161",6.641
"162",7.073
"163",6.514
"164",6.564
"165",7.467
"166",6.659
"167",6.398
"168",7.416
"169",6.367
"170",7.474
"171",6.594
"172",6.518
"173",7.586
"174",7.49
"175",7.513
"176",6.995
"177",7.608
"178",6.725
"179",7.221
"180",6.584
"181",6.98
"182",6.673
"183",6.895
"184",7.39
"185",7.047
"186",7.006
"187",6.885
"188",6.593
"189",6.835
"190",6.365
"191",6.531
"192",7.499
"193",6.353
"194",7.128
"195",6.71
"196",6.437
"197",7.273
"198",6.443
"199",6.547
"200",7.021
"201",6.548
"202",7.431
"203",6.554
"204",6.927
"205",6.701
"206",6.606
"207",7.293
"208",6.388
"209",7.404
"210",6.737
"211",7.126
"212",6.813
"213",6.46
"214",7.135
"215",7.219
"216",7.539
"217",7.276
"218",6.444
"219",6.868
"220",7.264
"221",6.525
"222",7.332
"223",6.936
"224",7.526
"225",7.549
"226",7.579
"227",6.841
"228",6.423
"229",6.812
"230",7.272
"231",6.961
"232",7.043
"233",7.009
"234",7.379
"235",7.234
"236",6.623
"237",6.613
"238",7.263
"239",6.523
"240",6.47
"241",6.836
"242",6.772
"243",7.096
"244",6.626
"245",6.432
"246",7.517
"247",6.589
"248",6.642
"249",6.678
"250",7.134
"251",7.409
"252",6.51
"253",6.469
"254",7.031
"255",7.435
"256",7.102
"257",7.315
"258",7.469
"259",7.518
"260",6.44
"261",6.629
"262",7.1
"263",7.576
"264",6.859
"265",7.45
"266",7.296
"267",6.75
"268",7.503
"269",6.419
"270",6.556
"271",6.509
"272",7.304
"273",7.153
"274",6.475
"275",6.935
"276",6.966
"277",7.02
"278",7.201
"279",6.827
"280",6.677
"281",6.472
"282",7.267
"283",7.577
"284",6.821
"285",7.393
"286",7.531
"287",6.93
"288",6.953
"289",7.321
"290",6.788
"291",6.415
"292",6.88
"293",7.443
"294",7.463
"295",7.383
"296",7.122
"297",6.84
"298",6.852
"299",7.166
"300",6.787
"301",7.377
"302",7.131
"303",7.406
"304",7.403
"305",7.324
