"variety","field","field_effect","irrigation","yield"
"v1","field_1",-2.50581524296933,"i1",8.46904286188764
"v1","field_1",-2.50581524296933,"i2",13.9708341672891
"v2","field_1",-2.50581524296933,"i1",13.6457474603377
"v2","field_1",-2.50581524296933,"i2",16.883407982718
"v1","field_2",0.734573296888329,"i1",13.75813563379
"v1","field_2",0.734573296888329,"i2",16.5142597697112
"v2","field_2",0.734573296888329,"i1",14.4920921358047
"v2","field_2",0.734573296888329,"i2",16.3051735225333
"v1","field_3",-3.34251444964019,"i1",8.90734738664603
"v1","field_3",-3.34251444964019,"i2",11.5676183323294
"v2","field_3",-3.34251444964019,"i1",11.6251050241619
"v2","field_3",-3.34251444964019,"i2",18.5451579717304
"v1","field_4",6.38112320855117,"i1",18.0235655987473
"v1","field_4",6.38112320855117,"i2",22.5689258509862
"v2","field_4",6.38112320855117,"i1",23.2190779517676
"v2","field_4",6.38112320855117,"i2",27.9453958100133
"v1","field_5",1.31803108726144,"i1",11.4671610539918
"v1","field_5",1.31803108726144,"i2",12.3393276955347
"v2","field_5",1.31803108726144,"i1",17.5576825830509
"v2","field_5",1.31803108726144,"i2",21.2057736082034
"v1","field_6",-3.28187353647206,"i1",6.40653545011728
"v1","field_6",-3.28187353647206,"i2",8.77662169572939
"v2","field_6",-3.28187353647206,"i1",10.7618263533107
"v2","field_6",-3.28187353647206,"i2",17.5540095839273
