"sitio","tipo","especie","abund"
"S1","Dry","Sp_1",0
"S1","Dry","Sp_2",2
"S1","Dry","Sp_3",0
"S1","Dry","Sp_4",0
"S1","Dry","Sp_5",7
"S1","Dry","Sp_6",0
"S1","Dry","Sp_7",0
"S1","Dry","Sp_8",0
"S1","Dry","Sp_9",16
"S1","Dry","Sp_10",0
"S1","Dry","Sp_11",2
"S1","Dry","Sp_12",0
"S1","Dry","Sp_13",9
"S1","Dry","Sp_14",0
"S1","Dry","Sp_15",2
"S1","Dry","Sp_16",0
"S1","Dry","Sp_17",0
"S1","Dry","Sp_18",0
"S1","Dry","Sp_19",6
"S1","Dry","Sp_20",0
"S1","Dry","Sp_21",0
"S1","Dry","Sp_22",0
"S1","Dry","Sp_23",0
"S1","Dry","Sp_24",1
"S1","Dry","Sp_25",0
"S1","Dry","Sp_26",0
"S1","Dry","Sp_27",1
"S1","Dry","Sp_28",0
"S1","Dry","Sp_29",0
"S1","Dry","Sp_30",0
"S1","Dry","Sp_31",0
"S1","Dry","Sp_32",0
"S1","Dry","Sp_33",0
"S1","Dry","Sp_34",1
"S1","Dry","Sp_35",0
"S1","Dry","Sp_36",4
"S1","Dry","Sp_37",0
"S1","Dry","Sp_38",2
"S1","Dry","Sp_39",0
"S1","Dry","Sp_40",0
"S1","Dry","Sp_41",0
"S1","Dry","Sp_42",0
"S1","Dry","Sp_43",1
"S1","Dry","Sp_44",2
"S1","Dry","Sp_45",0
"S1","Dry","Sp_46",7
"S1","Dry","Sp_47",3
"S1","Dry","Sp_48",0
"S1","Dry","Sp_49",0
"S1","Dry","Sp_50",0
"S1","Dry","Sp_51",0
"S1","Dry","Sp_52",0
"S1","Dry","Sp_53",0
"S1","Dry","Sp_54",0
"S1","Dry","Sp_55",0
"S1","Dry","Sp_56",0
"S1","Dry","Sp_57",0
"S1","Dry","Sp_58",0
"S1","Dry","Sp_59",0
"S1","Dry","Sp_60",0
"S1","Dry","Sp_61",0
"S1","Dry","Sp_62",0
"S1","Dry","Sp_63",0
"S1","Dry","Sp_64",0
"S1","Dry","Sp_65",0
"S1","Dry","Sp_66",0
"S1","Dry","Sp_67",0
"S1","Dry","Sp_68",0
"S1","Dry","Sp_69",0
"S1","Dry","Sp_70",0
"S1","Dry","Sp_71",0
"S1","Dry","Sp_72",1
"S1","Dry","Sp_73",0
"S1","Dry","Sp_74",0
"S1","Dry","Sp_75",0
"S1","Dry","Sp_76",1
"S1","Dry","Sp_77",0
"S1","Dry","Sp_78",0
"S1","Dry","Sp_79",0
"S1","Dry","Sp_80",0
"S1","Dry","Sp_81",0
"S1","Dry","Sp_82",0
"S1","Dry","Sp_83",0
"S1","Dry","Sp_84",0
"S1","Dry","Sp_85",0
"S1","Dry","Sp_86",0
"S1","Dry","Sp_87",6
"S1","Dry","Sp_88",0
"S1","Dry","Sp_89",0
"S1","Dry","Sp_90",0
"S1","Dry","Sp_91",0
"S1","Dry","Sp_92",0
"S1","Dry","Sp_93",0
"S10","Dry","Sp_1",0
"S10","Dry","Sp_2",0
"S10","Dry","Sp_3",0
"S10","Dry","Sp_4",0
"S10","Dry","Sp_5",0
"S10","Dry","Sp_6",0
"S10","Dry","Sp_7",0
"S10","Dry","Sp_8",0
"S10","Dry","Sp_9",0
"S10","Dry","Sp_10",0
"S10","Dry","Sp_11",0
"S10","Dry","Sp_12",0
"S10","Dry","Sp_13",0
"S10","Dry","Sp_14",0
"S10","Dry","Sp_15",3
"S10","Dry","Sp_16",0
"S10","Dry","Sp_17",0
"S10","Dry","Sp_18",0
"S10","Dry","Sp_19",0
"S10","Dry","Sp_20",0
"S10","Dry","Sp_21",0
"S10","Dry","Sp_22",0
"S10","Dry","Sp_23",0
"S10","Dry","Sp_24",5
"S10","Dry","Sp_25",0
"S10","Dry","Sp_26",0
"S10","Dry","Sp_27",0
"S10","Dry","Sp_28",0
"S10","Dry","Sp_29",0
"S10","Dry","Sp_30",0
"S10","Dry","Sp_31",0
"S10","Dry","Sp_32",0
"S10","Dry","Sp_33",0
"S10","Dry","Sp_34",0
"S10","Dry","Sp_35",0
"S10","Dry","Sp_36",0
"S10","Dry","Sp_37",0
"S10","Dry","Sp_38",0
"S10","Dry","Sp_39",0
"S10","Dry","Sp_40",0
"S10","Dry","Sp_41",0
"S10","Dry","Sp_42",0
"S10","Dry","Sp_43",0
"S10","Dry","Sp_44",0
"S10","Dry","Sp_45",0
"S10","Dry","Sp_46",0
"S10","Dry","Sp_47",0
"S10","Dry","Sp_48",0
"S10","Dry","Sp_49",0
"S10","Dry","Sp_50",0
"S10","Dry","Sp_51",0
"S10","Dry","Sp_52",0
"S10","Dry","Sp_53",0
"S10","Dry","Sp_54",0
"S10","Dry","Sp_55",0
"S10","Dry","Sp_56",0
"S10","Dry","Sp_57",0
"S10","Dry","Sp_58",0
"S10","Dry","Sp_59",0
"S10","Dry","Sp_60",0
"S10","Dry","Sp_61",0
"S10","Dry","Sp_62",0
"S10","Dry","Sp_63",0
"S10","Dry","Sp_64",0
"S10","Dry","Sp_65",0
"S10","Dry","Sp_66",0
"S10","Dry","Sp_67",0
"S10","Dry","Sp_68",0
"S10","Dry","Sp_69",0
"S10","Dry","Sp_70",0
"S10","Dry","Sp_71",0
"S10","Dry","Sp_72",0
"S10","Dry","Sp_73",0
"S10","Dry","Sp_74",0
"S10","Dry","Sp_75",3
"S10","Dry","Sp_76",0
"S10","Dry","Sp_77",0
"S10","Dry","Sp_78",0
"S10","Dry","Sp_79",0
"S10","Dry","Sp_80",0
"S10","Dry","Sp_81",30
"S10","Dry","Sp_82",0
"S10","Dry","Sp_83",0
"S10","Dry","Sp_84",20
"S10","Dry","Sp_85",1
"S10","Dry","Sp_86",0
"S10","Dry","Sp_87",0
"S10","Dry","Sp_88",0
"S10","Dry","Sp_89",0
"S10","Dry","Sp_90",0
"S10","Dry","Sp_91",0
"S10","Dry","Sp_92",0
"S10","Dry","Sp_93",0
"S100","Semi","Sp_1",1
"S100","Semi","Sp_2",0
"S100","Semi","Sp_3",0
"S100","Semi","Sp_4",0
"S100","Semi","Sp_5",0
"S100","Semi","Sp_6",0
"S100","Semi","Sp_7",0
"S100","Semi","Sp_8",0
"S100","Semi","Sp_9",0
"S100","Semi","Sp_10",0
"S100","Semi","Sp_11",0
"S100","Semi","Sp_12",0
"S100","Semi","Sp_13",0
"S100","Semi","Sp_14",0
"S100","Semi","Sp_15",0
"S100","Semi","Sp_16",0
"S100","Semi","Sp_17",5
"S100","Semi","Sp_18",1
"S100","Semi","Sp_19",10
"S100","Semi","Sp_20",0
"S100","Semi","Sp_21",0
"S100","Semi","Sp_22",0
"S100","Semi","Sp_23",0
"S100","Semi","Sp_24",0
"S100","Semi","Sp_25",2
"S100","Semi","Sp_26",0
"S100","Semi","Sp_27",10
"S100","Semi","Sp_28",0
"S100","Semi","Sp_29",0
"S100","Semi","Sp_30",0
"S100","Semi","Sp_31",0
"S100","Semi","Sp_32",0
"S100","Semi","Sp_33",0
"S100","Semi","Sp_34",0
"S100","Semi","Sp_35",0
"S100","Semi","Sp_36",0
"S100","Semi","Sp_37",0
"S100","Semi","Sp_38",0
"S100","Semi","Sp_39",25
"S100","Semi","Sp_40",0
"S100","Semi","Sp_41",0
"S100","Semi","Sp_42",0
"S100","Semi","Sp_43",0
"S100","Semi","Sp_44",0
"S100","Semi","Sp_45",1
"S100","Semi","Sp_46",0
"S100","Semi","Sp_47",0
"S100","Semi","Sp_48",0
"S100","Semi","Sp_49",23
"S100","Semi","Sp_50",0
"S100","Semi","Sp_51",3
"S100","Semi","Sp_52",0
"S100","Semi","Sp_53",1
"S100","Semi","Sp_54",0
"S100","Semi","Sp_55",0
"S100","Semi","Sp_56",1
"S100","Semi","Sp_57",0
"S100","Semi","Sp_58",1
"S100","Semi","Sp_59",0
"S100","Semi","Sp_60",1
"S100","Semi","Sp_61",0
"S100","Semi","Sp_62",0
"S100","Semi","Sp_63",0
"S100","Semi","Sp_64",2
"S100","Semi","Sp_65",2
"S100","Semi","Sp_66",0
"S100","Semi","Sp_67",0
"S100","Semi","Sp_68",0
"S100","Semi","Sp_69",0
